translation_gain,rotation_gain,damping,horizon_s,simulated_time_s,steps,final_position_error_norm,final_rotation_error_norm,position_rms_error,rotation_rms_error,peak_position_error_norm,peak_rotation_error_norm,settling_time_s,target_reached,target_reached_time_s,mean_joint_velocity_norm,max_joint_velocity_norm,control_smoothness,oscillation_metric,mean_min_singular_value,min_min_singular_value,max_condition_number,mean_manipulability,diverged,failure_reason,score
0.0,0.0,0.01,5.0,5.001999999999671,2501,0.46727267621035545,1.571180565035045,0.5921368560785643,1.5713384644600101,0.6496412422013246,1.5721765092473754,nan,False,nan,0.013439122749280212,0.04482844777641956,5.502975668244875e-05,4.179132749950639,0.030785205421551706,0.028158574300843446,68.61677253795006,0.018996722322152507,False,,75.69398028279139
0.0,0.0,0.03,5.0,5.001999999999671,2501,0.46727267621035545,1.571180565035045,0.5921368560785643,1.5713384644600101,0.6496412422013246,1.5721765092473754,nan,False,nan,0.013439122749280212,0.04482844777641956,5.502975668244875e-05,4.179132749950639,0.030785205421551706,0.028158574300843446,68.61677253795006,0.018996722322152507,False,,75.69398028279139
0.0,2.0,0.01,5.0,5.001999999999671,2501,1.0440212336273078,2.736981928699604,0.969024377621149,2.3128383781092454,1.1232174188602648,3.140929445424609,nan,False,nan,1.9376528918648248,2.46575166199003,0.10179310207465192,0.8282330711598758,0.01866572375308092,7.193517681266487e-05,25913.726451243638,0.004720218013472381,False,,122.23086476004414
0.0,2.0,0.03,5.0,5.001999999999671,2501,1.2497246710904018,2.2917766852010026,0.9887987196156953,2.1747384515112045,1.2497246710904018,3.1412506277129784,nan,False,nan,1.958045492255208,2.440304245765645,0.023336748099943204,2.1977386955252,0.009586259285895576,0.00033706178706666867,5715.745053139036,0.004907706166044419,False,,124.20221411245171
0.0,4.0,0.01,5.0,5.001999999999671,2501,1.0576259033346924,2.7159580453564067,0.9723404830143823,2.3099757909554826,1.1307170876869521,3.141545372441403,nan,False,nan,1.9563907715443214,2.462670879948557,0.20805591493479283,0.8504934308955582,0.018240240009325958,6.320419897188171e-05,29274.254209712297,0.004638252012906834,False,,122.55282517455653
0.0,4.0,0.03,5.0,5.001999999999671,2501,1.082710362865054,2.8909166732146665,0.9704212045523288,2.247103532566366,1.1448295392979002,3.1411708990299587,nan,False,nan,1.9839248335795403,2.488680269315446,0.02966557750411231,0.8276420300782049,0.008518615373019588,0.0003515597123025007,5480.440351283028,0.003787942753598593,False,,121.85964759457254
0.0,6.0,0.01,5.0,5.001999999999671,2501,1.0216155895053147,2.31609728190537,0.9386392105313427,2.2099666950600327,1.0533095468476603,3.141497327404891,nan,False,nan,1.9534581510712543,2.5042920185189046,0.23144385980341695,2.3335534046134354,0.01697928922382934,3.808803544828102e-05,48309.67529670014,0.00853122781616287,False,,118.06367365328
0.0,6.0,0.03,5.0,5.001999999999671,2501,1.079613088341231,2.919917386447096,0.9690663818681303,2.256922584865618,1.1383009202814307,3.141562194044723,nan,False,nan,1.9934624383081339,2.497310808528342,0.03850074704491084,0.7598397718357103,0.00861089277057837,0.0003499955865349379,5504.747782599238,0.003790185767594294,False,,121.77140117553786
0.0,8.0,0.01,5.0,5.001999999999671,2501,1.0592634608232216,2.713121241512563,0.9720696492532381,2.3095945801305597,1.1322801173095658,3.140913216433318,nan,False,nan,1.960092425390589,2.4607902380825446,0.2427101447361224,0.8486690079219934,0.01811404095974066,5.322071616474902e-05,34715.93744332612,0.004604763923253673,False,,122.55543788503971
0.0,8.0,0.03,5.0,5.001999999999671,2501,1.0776317209079842,2.9246025448628634,0.9690008221257789,2.2570743385601864,1.1375630502747078,3.141484029264519,nan,False,nan,2.0167343004693357,2.4968711494558686,0.06904973585722103,0.7653318515608468,0.008661102813226112,0.0003652595831811201,5275.003223499263,0.0038124201500546622,False,,121.75900901593667
0.0,10.0,0.01,5.0,5.001999999999671,2501,0.9910077316297897,2.004625512642925,0.9367907081617405,2.2289965265974314,1.0494527500470878,3.141545107872109,nan,False,nan,1.9544068056028312,2.5051783827052425,0.2415739742856559,3.8731012261073334,0.017879746283112608,3.572404920566579e-05,51505.338342405725,0.008770261334207302,False,,118.42260292531833
0.0,10.0,0.03,5.0,5.001999999999671,2501,1.078642706927157,2.915871023540081,0.9697969857607764,2.252389040306436,1.1405525627511774,3.1413858118943185,nan,False,nan,2.0258481116389526,2.4885858291361718,0.07995836482186926,0.8007585695117561,0.008592942943521772,0.0003603230485108684,5347.176942646628,0.003801127447077866,False,,121.81062799052738
0.0,12.0,0.01,5.0,5.001999999999671,2501,0.9906337551713963,2.0780744832487748,0.9358021060359585,2.224983150277554,1.0483008613790972,3.1415298716581375,nan,False,nan,1.9528325180825876,2.505241150260217,0.2458790091603598,3.3369985233317463,0.01782313896973849,3.318129733600208e-05,55565.04515737028,0.008777830509432517,False,,118.18027818032562
0.0,12.0,0.03,5.0,5.001999999999671,2501,1.087228184394612,2.902245905477566,0.9700095740487841,2.2533945511856444,1.1424987859082456,3.1412915691855323,nan,False,nan,2.031774558039122,2.497357549937251,0.09194212568106751,0.7878544589254733,0.008565150666863494,0.0003570799075472431,5395.680431537624,0.0037668742288064403,False,,121.86757419773387
0.0,14.0,0.01,5.0,5.001999999999671,2501,1.0557871287356437,2.7064554144872663,0.9721920646676541,2.303781043799922,1.1269572487589483,3.1412151374899397,nan,False,nan,1.9694110680331056,2.4727099228207705,0.2530994332985124,0.8936497529521529,0.017905870564452062,3.771781605940694e-05,48783.368424094435,0.004610836274523438,False,,122.41273394785065
0.0,14.0,0.03,5.0,5.001999999999671,2501,1.0857465317589547,2.9041514734284046,0.9697990588622545,2.2537587230604923,1.1416537043408037,3.141508095922167,nan,False,nan,2.0347091761267735,2.497218489037437,0.09997537505262652,0.7881171520134855,0.008607364556714243,0.0003551146321341544,5425.483334698771,0.0037826006681984823,False,,121.8451374594438
0.0,16.0,0.01,5.0,5.001999999999671,2501,1.0194642917064267,2.7601885100376644,0.9736369283730537,2.295779485090621,1.1178228213485684,3.140662398849022,nan,False,nan,1.9705310405237482,2.5162300696543833,0.2449457351905582,1.0301105138863842,0.014599261667985353,3.769261157493061e-05,48612.96597298314,0.004220738344765959,False,,122.2821730139341
0.0,16.0,0.03,5.0,5.001999999999671,2501,1.0786237293842889,2.914078902328337,0.9700190086392694,2.251137647189953,1.140844053710467,3.1412565949950704,nan,False,nan,2.033478483581794,2.490093026937055,0.10641478325739816,0.8141435102444708,0.00858456742407067,0.00035449254413865447,5434.973739974944,0.0038028732993593923,False,,121.81824882670621
0.0,18.0,0.01,5.0,5.001999999999671,2501,0.9877461380908011,1.971456215318352,0.9351769058670955,2.232818087863395,1.046556493431652,3.1405718865993166,nan,False,nan,1.9515686181816392,2.505290787568592,0.25161995340828613,4.164092503192483,0.018004796015842765,3.0297417156331595e-05,60782.3235413438,0.00876682508863527,False,,118.3701744778293
0.0,18.0,0.03,5.0,5.001999999999671,2501,1.245429247892403,2.2632418032755988,0.9902409915671302,2.186707838818415,1.245429247892403,3.141460159799107,nan,False,nan,2.021105711704171,2.44249316295273,0.11114508935690742,2.3130942826118543,0.010391356124946797,0.0003552027202821648,5424.113603929922,0.005068092112687861,False,,124.40451979742276
0.0,20.0,0.01,5.0,5.001999999999671,2501,1.055758439515247,2.6901825070292706,0.9725862987054311,2.299327969760949,1.1245270734172852,3.141358454433427,nan,False,nan,1.96803597494547,2.4790057558465435,0.25527393969009643,0.9497789941139013,0.017495040622294913,3.581220549447335e-05,51395.14102461654,0.0045723142707895965,False,,122.354663787353
0.0,20.0,0.03,5.0,5.001999999999671,2501,1.0878785187242932,2.8502242821022117,0.9711360638121099,2.2451134411925597,1.1467986387102866,3.141103875314736,nan,False,nan,2.0248776892238993,2.4895759308492296,0.11810708857153646,0.9071022315935213,0.008436940644346608,0.00035694184637905224,5397.683739591793,0.0037620340991534706,False,,121.93535620497919
2.0,0.0,0.01,5.0,5.001999999999671,2501,0.34645997776173304,2.686030269692132,0.4239532716668758,2.50669728414124,0.5587751586378548,2.767725802267199,nan,False,nan,1.4088907773909594,2.2138066556969824,0.2811356128677502,0.5254675985831598,0.0017509800245610857,3.2201546385887507e-06,586809.304756668,0.0010762782091500867,False,,77.6895492725783
2.0,0.0,0.03,5.0,5.001999999999671,2501,0.36722154185917216,2.6039326320513676,0.4027825296136946,2.514930570152581,0.5505694447620306,2.7725669795790893,nan,False,nan,1.537936874785678,2.176209559681076,0.03925800638130495,1.356250184377461,0.0019008024168840642,6.660050352034149e-06,283733.3352767943,0.0011693904186805817,False,,76.41332397669835
2.0,2.0,0.01,5.0,5.001999999999671,2501,0.0011766119286542704,0.0027793574170618205,0.21171443581522387,0.5229522499881012,0.5604910432546965,1.5707963267948966,4.157999999999764,True,1.7760000000000014,0.9057906476607016,2.2144808672303187,0.009948368347704312,0.05817670714437111,0.108329557005223,0.024032195478329278,80.40514752099388,0.039297589605474775,False,,34.924659918860925
2.0,2.0,0.03,5.0,5.001999999999671,2501,0.0048900331283021296,0.04168911193283193,0.2060604168558387,0.5703376225425801,0.5740493928306302,1.5707963267948966,4.3719999999997405,True,2.5599999999999397,1.0635135258625295,2.2042510122486143,0.010146966723801823,0.21506411710881768,0.10120277916723472,0.006279882360963092,300.66827411652673,0.03700751675392481,False,,35.39735123406859
2.0,4.0,0.01,5.0,5.001999999999671,2501,0.001039424675151725,0.0015896724511125556,0.21376015398839546,0.5477711487182988,0.5405017585406429,1.5707963267948966,3.0259999999998883,True,3.0259999999998883,1.234208833674248,2.390837156630583,0.024397323543652927,0.06186089663276079,0.05339852322826994,0.0004899689380949557,3942.3007526463784,0.016685387108585498,False,,35.04046368640342
2.0,4.0,0.03,5.0,5.001999999999671,2501,0.0011455063699497621,0.0015525753216134334,0.18263488095779293,0.5285896391704646,0.5405017585406429,1.5707963267948966,2.183999999999981,True,2.183999999999981,1.1172665394790477,2.3840718389083446,0.014513737572965018,0.19562899570401074,0.05440512091204651,0.0005801437703410908,3326.3844120706426,0.017256989794547078,False,,32.75190222894243
2.0,6.0,0.01,5.0,5.001999999999671,2501,0.0017989910286901173,0.0008742607711294616,0.2478669778125409,0.649397067034123,0.5721935620257192,1.5707963267948966,nan,True,3.889999999999793,1.753301141388385,2.4111410451471986,0.0693016577221558,1.1421646714577214,0.048415593952985336,0.00020412559833513696,9386.540218115659,0.01617857237291706,False,,39.331180136162025
2.0,6.0,0.03,5.0,5.001999999999671,2501,0.03926605488243702,0.12465990042299521,0.21241833403478882,0.6110112737161169,0.5451081495446677,1.5707963267948966,nan,True,3.989999999999782,1.9503795862104034,2.384103794244703,0.03602469381511299,1.7354814912236278,0.05928899913496136,0.00037792267840684886,5111.52041618332,0.02066987337594526,False,,36.1535555893226
2.0,8.0,0.01,5.0,5.001999999999671,2501,0.012564767251799164,0.044311823502137006,0.32216484951687635,0.7567137646569649,0.6224364194648236,1.5707963267948966,nan,True,4.057999999999775,1.677681475947994,2.4022162555086797,0.08578981028220914,1.0814346452040187,0.0416453616819112,0.0001780058252444877,10794.818966550045,0.015068940045965519,False,,46.451845039150726
2.0,8.0,0.03,5.0,5.001999999999671,2501,0.03870320925906537,0.020737340335921544,0.2455731401005634,0.656183486882225,0.5450454586732474,1.5707963267948966,nan,True,4.445999999999732,1.9562358863680633,2.411408144845008,0.04331216843565005,1.1941059492528314,0.058811665783130844,0.00037921099418045015,5094.303715430891,0.021463884755613154,False,,38.819709597516784
