wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/seohy/.netrc.
wandb: Currently logged in as: ohseohyun0531 (ohseohyun0531-kwangwoon-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run w7d5h0ij
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /home/seohy/colcon_ws/src/Adaptive_Cost_MPC/wandb/run-20260726_182331-w7d5h0ij
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run postfix-v1-residual-curriculum
wandb: ⭐️ View project at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch
wandb: 🚀 View run at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch/runs/w7d5h0ij
episodes 800-819: success_rate=0.850 mean_reward=703.15 mean_actor_loss=0.0125 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 820-839: success_rate=0.900 mean_reward=764.16 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 840-859: success_rate=0.900 mean_reward=776.34 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 860-879: success_rate=0.900 mean_reward=727.74 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 880-899: success_rate=1.000 mean_reward=817.88 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 900-919: success_rate=0.800 mean_reward=722.50 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 920-939: success_rate=0.850 mean_reward=769.63 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 940-959: success_rate=0.900 mean_reward=806.41 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.667
episodes 960-979: success_rate=0.850 mean_reward=805.09 mean_actor_loss=0.0125 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 980-999: success_rate=0.900 mean_reward=779.62 mean_actor_loss=0.0125 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1000-1019: success_rate=1.000 mean_reward=818.91 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1020-1039: success_rate=1.000 mean_reward=822.42 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1040-1059: success_rate=0.900 mean_reward=780.66 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1060-1079: success_rate=0.950 mean_reward=821.74 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1080-1099: success_rate=0.950 mean_reward=801.05 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1100-1119: success_rate=0.850 mean_reward=749.97 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1120-1139: success_rate=0.950 mean_reward=771.44 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1140-1159: success_rate=0.950 mean_reward=777.45 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1160-1179: success_rate=0.800 mean_reward=754.69 mean_actor_loss=0.0125 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1180-1199: success_rate=0.950 mean_reward=775.89 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1200-1219: success_rate=0.900 mean_reward=765.05 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1220-1239: success_rate=0.900 mean_reward=766.25 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1240-1259: success_rate=1.000 mean_reward=813.27 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1260-1279: success_rate=0.850 mean_reward=747.13 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1280-1299: success_rate=0.950 mean_reward=790.03 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1300-1319: success_rate=0.850 mean_reward=722.71 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1320-1339: success_rate=1.000 mean_reward=820.25 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1340-1359: success_rate=0.850 mean_reward=722.53 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1360-1379: success_rate=0.950 mean_reward=780.00 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1380-1399: success_rate=0.950 mean_reward=782.33 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1400-1419: success_rate=0.900 mean_reward=797.09 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1420-1439: success_rate=0.950 mean_reward=788.18 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1440-1459: success_rate=0.800 mean_reward=692.91 mean_actor_loss=0.0125 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1460-1479: success_rate=0.800 mean_reward=714.86 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1480-1499: success_rate=0.800 mean_reward=740.97 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.667
episodes 1500-1519: success_rate=0.950 mean_reward=771.85 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1520-1539: success_rate=1.000 mean_reward=810.28 mean_actor_loss=0.0123 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1540-1559: success_rate=0.800 mean_reward=743.10 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1560-1579: success_rate=1.000 mean_reward=804.72 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1580-1599: success_rate=0.950 mean_reward=780.98 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1600-1619: success_rate=0.950 mean_reward=821.84 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1620-1639: success_rate=0.850 mean_reward=720.34 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1640-1659: success_rate=0.750 mean_reward=683.29 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.667
episodes 1660-1679: success_rate=0.900 mean_reward=773.23 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1680-1699: success_rate=0.850 mean_reward=736.72 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1700-1719: success_rate=0.900 mean_reward=773.34 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1720-1739: success_rate=0.850 mean_reward=757.61 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1740-1759: success_rate=0.950 mean_reward=800.03 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1760-1779: success_rate=1.000 mean_reward=818.98 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1780-1799: success_rate=0.750 mean_reward=682.04 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1800-1819: success_rate=0.900 mean_reward=811.17 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1820-1839: success_rate=0.850 mean_reward=774.22 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1840-1859: success_rate=0.700 mean_reward=726.03 mean_actor_loss=0.0124 mean_kl=0.0000 stage=intermediate scheduler_success_rate=1.000
episodes 1860-1879: success_rate=0.850 mean_reward=730.71 mean_actor_loss=0.0125 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1880-1899: success_rate=0.950 mean_reward=774.65 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1900-1919: success_rate=0.950 mean_reward=816.17 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1920-1939: success_rate=0.900 mean_reward=791.66 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 1940-1959: success_rate=0.900 mean_reward=753.27 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1960-1979: success_rate=0.800 mean_reward=767.69 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 1980-1999: success_rate=0.950 mean_reward=812.54 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2000-2019: success_rate=1.000 mean_reward=822.36 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
