wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/seohy/.netrc.
wandb: Currently logged in as: ohseohyun0531 (ohseohyun0531-kwangwoon-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run wjyrzjoc
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /home/seohy/colcon_ws/src/Adaptive_Cost_MPC/wandb/run-20260726_232348-wjyrzjoc
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run postfix-v3-hard-domain
wandb: ⭐️ View project at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch
wandb: 🚀 View run at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch/runs/wjyrzjoc
episodes 740-759: success_rate=0.600 mean_reward=424.13 mean_actor_loss=0.0125 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.500
episodes 760-779: success_rate=0.800 mean_reward=762.21 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 780-799: success_rate=0.850 mean_reward=766.41 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 800-819: success_rate=0.850 mean_reward=733.32 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 820-839: success_rate=0.850 mean_reward=670.03 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 840-859: success_rate=0.800 mean_reward=638.83 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 860-879: success_rate=0.900 mean_reward=807.47 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 880-899: success_rate=0.950 mean_reward=722.05 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 900-919: success_rate=0.900 mean_reward=737.72 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 920-939: success_rate=0.900 mean_reward=773.54 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 940-959: success_rate=0.800 mean_reward=768.81 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 960-979: success_rate=0.850 mean_reward=781.80 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 980-999: success_rate=0.850 mean_reward=767.26 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1000-1019: success_rate=1.000 mean_reward=819.10 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1020-1039: success_rate=0.850 mean_reward=728.99 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1040-1059: success_rate=0.850 mean_reward=667.73 mean_actor_loss=0.0125 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1060-1079: success_rate=0.800 mean_reward=805.29 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 1080-1099: success_rate=0.950 mean_reward=681.71 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1100-1119: success_rate=0.850 mean_reward=643.95 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1120-1139: success_rate=0.950 mean_reward=777.15 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1140-1159: success_rate=0.950 mean_reward=780.05 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1160-1179: success_rate=0.750 mean_reward=738.55 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1180-1199: success_rate=0.900 mean_reward=823.35 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1200-1219: success_rate=0.900 mean_reward=652.25 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1220-1239: success_rate=0.850 mean_reward=778.83 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1240-1259: success_rate=0.950 mean_reward=715.86 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1260-1279: success_rate=0.850 mean_reward=737.93 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1280-1299: success_rate=0.850 mean_reward=695.86 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1300-1319: success_rate=0.850 mean_reward=753.71 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 1320-1339: success_rate=0.950 mean_reward=819.54 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1340-1359: success_rate=0.850 mean_reward=630.41 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1360-1379: success_rate=0.850 mean_reward=793.57 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1380-1399: success_rate=0.900 mean_reward=793.86 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1400-1419: success_rate=0.900 mean_reward=808.51 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1420-1439: success_rate=0.850 mean_reward=571.81 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1440-1459: success_rate=0.800 mean_reward=679.02 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1460-1479: success_rate=0.800 mean_reward=724.48 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1480-1499: success_rate=0.650 mean_reward=648.56 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 1500-1519: success_rate=0.900 mean_reward=774.83 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1520-1539: success_rate=0.950 mean_reward=808.05 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1540-1559: success_rate=0.750 mean_reward=654.44 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 1560-1579: success_rate=0.950 mean_reward=712.50 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1580-1599: success_rate=0.800 mean_reward=589.17 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1600-1619: success_rate=0.950 mean_reward=820.40 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1620-1639: success_rate=0.800 mean_reward=446.84 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1640-1659: success_rate=0.700 mean_reward=659.97 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 1660-1679: success_rate=0.850 mean_reward=634.65 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1680-1699: success_rate=0.750 mean_reward=661.80 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1700-1719: success_rate=0.900 mean_reward=768.62 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1720-1739: success_rate=0.800 mean_reward=757.67 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 1740-1759: success_rate=0.900 mean_reward=808.52 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1760-1779: success_rate=0.850 mean_reward=813.67 mean_actor_loss=0.0123 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1780-1799: success_rate=0.750 mean_reward=686.16 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1800-1819: success_rate=0.850 mean_reward=801.52 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1820-1839: success_rate=0.800 mean_reward=667.72 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1840-1859: success_rate=0.700 mean_reward=720.78 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.500
episodes 1860-1879: success_rate=0.800 mean_reward=612.01 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1880-1899: success_rate=0.850 mean_reward=679.40 mean_actor_loss=0.0125 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1900-1919: success_rate=0.900 mean_reward=712.57 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1920-1939: success_rate=0.800 mean_reward=690.43 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
