condition,seed,episode,term,mean,std,min,max,updates
D0,7,0,total_actor_loss,0.0122243165748,0.00190911820869,0,0.0125261470675,42
D0,7,0,entropy_bonus,0.0122243091719,0.00190911705154,-0,0.0125261163712,42
D0,7,0,policy_surrogate_loss,7.40286140188e-09,9.38796804884e-08,-2.08355486394e-07,2.3916363716e-07,42
D0,7,100,total_actor_loss,0.0124889974505,8.31725907114e-07,0.0124872243032,0.0124900471419,41
D0,7,100,entropy_bonus,0.0124890042514,8.3088526849e-07,0.0124872760773,0.0124897527695,41
D0,7,100,policy_surrogate_loss,-6.80092631351e-09,9.89301328885e-08,-3.05332243444e-07,3.02955508232e-07,41
D0,7,200,total_actor_loss,0.0125161527724,1.0730614922e-06,0.0125135118142,0.0125172026455,41
D0,7,200,entropy_bonus,0.0125161535217,1.0684898933e-06,0.0125135412216,0.0125169744492,41
D0,7,200,policy_surrogate_loss,-7.49237653922e-10,8.70708870214e-08,-1.71206891537e-07,2.51218676566e-07,41
D0,7,300,total_actor_loss,0.0125108490494,3.1098237594e-07,0.0125100649893,0.012511221692,41
D0,7,300,entropy_bonus,0.0125108564191,3.16268426558e-07,0.0125100870132,0.0125111064911,41
D0,7,300,policy_surrogate_loss,-7.36971453951e-09,8.3015192096e-08,-1.93148851396e-07,1.49913132191e-07,41
D0,7,399,total_actor_loss,0.0121820699656,0.00195069239192,0,0.0124946981668,40
D0,7,399,entropy_bonus,0.0121820612669,0.00195069099668,-0,0.0124945993423,40
D0,7,399,policy_surrogate_loss,8.69873911127e-09,1.07855967277e-07,-2.68034636975e-07,3.95841896534e-07,40
D0,17,0,total_actor_loss,0.0125267607637,3.09236377668e-07,0.0125257410109,0.0125272879377,41
D0,17,0,entropy_bonus,0.0125267640556,2.93176886552e-07,0.0125257177353,0.0125272903442,41
D0,17,0,policy_surrogate_loss,-3.29188457362e-09,8.44165019125e-08,-2.87115573884e-07,1.49160623551e-07,41
D0,17,100,total_actor_loss,0.0125200343676,1.57980640947e-06,0.0125162964687,0.0125214233994,39
D0,17,100,entropy_bonus,0.0125200319779,1.57512868371e-06,0.0125164299011,0.0125213356018,39
D0,17,100,policy_surrogate_loss,2.38972596608e-09,7.97908582437e-08,-2.00383365154e-07,1.64277851581e-07,39
D0,17,200,total_actor_loss,0.012506162407,4.46560487773e-07,0.0125055788085,0.0125071341172,41
D0,17,200,entropy_bonus,0.0125061541301,4.44338670255e-07,0.0125055866241,0.0125071334839,41
D0,17,200,policy_surrogate_loss,8.27686815689e-09,8.0760588543e-08,-1.29766762258e-07,2.24083662032e-07,41
D0,17,300,total_actor_loss,0.0125187070495,1.64663187386e-07,0.012518312782,0.0125192413107,41
D0,17,300,entropy_bonus,0.0125186946915,9.98188988772e-08,0.0125184926987,0.0125188903809,41
D0,17,300,policy_surrogate_loss,1.23579691095e-08,1.06367631889e-07,-2.07573175431e-07,3.50929796696e-07,41
D0,17,399,total_actor_loss,0.0122166108794,0.00193161596281,0,0.0125241689384,41
D0,17,399,entropy_bonus,0.0122165877412,0.00193161230556,-0,0.0125241632462,41
D0,17,399,policy_surrogate_loss,2.31382323472e-08,9.06866400892e-08,-2.1556019783e-07,2.39104032516e-07,41
D0,27,0,total_actor_loss,0.0125207173888,2.13686878409e-06,0.0125186527148,0.0125256851315,41
D0,27,0,entropy_bonus,0.012520701199,2.1503150477e-06,0.0125186042786,0.0125257177353,41
D0,27,0,policy_surrogate_loss,1.61897481939e-08,1.00336797169e-07,-1.4853477478e-07,2.20634043216e-07,41
D0,27,100,total_actor_loss,0.0121834348837,0.00203057302109,0,0.01252333913,37
D0,27,100,entropy_bonus,0.0121834728911,0.00203057934244,-0,0.0125232172012,37
D0,27,100,policy_surrogate_loss,-3.80074252955e-08,8.92770260933e-08,-2.97822058201e-07,1.21928751469e-07,37
D0,27,200,total_actor_loss,0.0125085647877,4.78219799542e-07,0.012507840991,0.0125098088756,41
D0,27,200,entropy_bonus,0.0125085441078,4.83498383423e-07,0.0125079879761,0.0125096521378,41
D0,27,200,policy_surrogate_loss,2.06799041931e-08,1.0391497937e-07,-1.85206532478e-07,4.22053039073e-07,41
D0,27,300,total_actor_loss,0.0122237643454,0.00193274694593,0,0.0125306453556,41
D0,27,300,entropy_bonus,0.0122237492305,0.00193274455775,-0,0.0125307044983,41
D0,27,300,policy_surrogate_loss,1.51148656516e-08,8.64221255683e-08,-1.74701213837e-07,2.24404036998e-07,41
D0,27,399,total_actor_loss,0.0125287057876,1.33994040427e-06,0.0125256692991,0.0125299273059,42
D0,27,399,entropy_bonus,0.0125286908377,1.34919599607e-06,0.012525633812,0.012529750824,42
D0,27,399,policy_surrogate_loss,1.4949944757e-08,8.38477270266e-08,-1.55642628671e-07,1.98431313037e-07,42
D1,7,0,total_actor_loss,0.012224304645,0.00190911635137,0,0.0125261470675,42
D1,7,0,entropy_bonus,0.0122243093082,0.00190911707276,-0,0.0125261163712,42
D1,7,0,policy_surrogate_loss,-4.66317648008e-09,9.66703424835e-08,-2.00755894185e-07,2.31713056563e-07,42
D1,7,100,total_actor_loss,0.012356065032,1.60576348072e-06,0.0123522914946,0.0123574007303,41
D1,7,100,entropy_bonus,0.0123560608422,1.62112419677e-06,0.0123522872925,0.0123573522568,41
D1,7,100,policy_surrogate_loss,4.18977039597e-09,9.12745595954e-08,-2.07573175431e-07,2.95102596283e-07,41
D1,7,200,total_actor_loss,0.0123931533149,1.73094484939e-06,0.0123889679089,0.0123945986852,44
D1,7,200,entropy_bonus,0.0123931472301,1.69830010738e-06,0.0123891458511,0.0123944587708,44
D1,7,200,policy_surrogate_loss,6.08475370811e-09,9.32166006682e-08,-3.46899032593e-07,1.72108411788e-07,44
D1,7,300,total_actor_loss,0.0120437096228,0.00188091180428,0,0.0123404152691,42
D1,7,300,entropy_bonus,0.012043691726,0.00188090899998,-0,0.0123400421143,42
