condition,episode,total_actor_loss_mean,total_actor_loss_std,entropy_bonus_mean,entropy_bonus_std,policy_surrogate_loss_mean,policy_surrogate_loss_std
D0,0,0.0124239315758,0.00017289806838,0.0124239248089,0.000172898789559,6.76690834071e-09,9.75637386757e-09
D0,100,0.0123974889006,0.000186024633257,0.0123975030402,0.000186003651786,-1.4139541881e-08,2.11748415897e-08
D0,200,0.0125102933224,5.21466435895e-06,0.0125102839199,5.22179731732e-06,9.40251156537e-09,1.07588259066e-08
D0,300,0.0124177734814,0.000168062773048,0.0124177667804,0.000168069827344,6.70104007388e-09,1.22633486935e-08
D0,399,0.0123091288776,0.000190941832123,0.0123091132819,0.000190941736138,1.55956387385e-08,7.24136946759e-09
D1,0,0.0124239226094,0.000172900765361,0.0124239248388,0.000172898697894,-2.22936630319e-09,3.10456838094e-09
D1,100,0.0122823569089,0.000184321349241,0.0122823474287,0.000184311210628,9.48018158897e-09,1.33122167389e-08
D1,200,0.0123016193843,8.8977713667e-05,0.0123016171616,8.89684381864e-05,2.22267111605e-09,1.42606351458e-08
D1,300,0.0120057753248,0.000133957200757,0.0120057670683,0.000133949515769,8.25648290711e-09,1.01744501332e-08
D1,399,0.0119588323225,0.000195489678978,0.0119588323376,0.000195505894259,-1.50828829299e-11,1.62305827362e-08
D2,0,0.012423929625,0.000172914554254,0.0124239242931,0.000172899568066,5.33189565392e-09,1.51227326146e-08
D2,100,0.0123248039328,0.000157732373617,0.0123248074587,0.000157713560282,-3.52585373001e-09,2.99529181583e-08
D2,200,0.0123012678912,8.54673971869e-05,0.0123012544908,8.54661043178e-05,1.34003868343e-08,2.70059463151e-08
D2,300,0.0121614043686,0.000134259338126,0.0121613976927,0.000134285873103,6.67590083473e-09,2.74680104973e-08
D2,399,0.0114728209424,0.000842109164564,0.0114728693807,0.000841945349779,-4.84383250796e-08,1.83942488268e-07
D3,0,0.0124239145186,0.000172910939546,0.0124239104022,0.000172901653074,4.11643568388e-09,1.01126999616e-08
D3,100,0.0121729440463,0.000208185818948,0.0121730019047,0.000208259256838,-5.78583607224e-08,7.37204534418e-08
D3,200,0.0122568843266,2.11339539991e-05,0.0122568582897,2.11285777671e-05,2.60368903914e-08,1.17075825833e-08
D3,300,0.0121021292873,0.000117352936484,0.0121021251332,0.00011723439424,4.15404092904e-09,1.23366174611e-07
D3,399,0.0119842682116,0.00018082135428,0.0119841591731,0.000180758447278,1.09038500241e-07,6.84209890033e-08
M0,0,0.0124239145186,0.000172910939546,0.0124239104022,0.000172901653074,4.11643568388e-09,1.01126999616e-08
M0,100,0.012290275614,0.000218018310859,0.0122902169711,0.000218042663005,5.86429130385e-08,2.4434644645e-08
M0,200,0.012141062282,0.000228030085652,0.0121411125406,0.000228033286496,-5.02586867367e-08,8.51466527418e-09
M0,300,0.0121045757986,0.00022578201501,0.0121046110976,0.000225807616389,-3.52989648198e-08,3.38587338969e-08
M0,399,0.012030074815,0.000299953477286,0.012030097959,0.000299672294085,-2.31439868613e-08,4.51763909788e-07
