condition,completed_seeds,training_episodes_mean,training_episodes_std,training_success_rate_mean,training_success_rate_std,training_safety_violation_count_mean,training_safety_violation_count_std,evaluation_success_rate_all_checkpoints_mean,evaluation_success_rate_all_checkpoints_std,evaluation_success_rate_mean,evaluation_success_rate_std,evaluation_impact_safe_rate_mean,evaluation_impact_safe_rate_std,evaluation_stable_hold_rate_mean,evaluation_stable_hold_rate_std,evaluation_bilateral_contact_rate_mean,evaluation_bilateral_contact_rate_std,evaluation_box_drop_rate_mean,evaluation_box_drop_rate_std,evaluation_workspace_failure_rate_mean,evaluation_workspace_failure_rate_std,evaluation_mean_first_contact_peak_force_n_mean,evaluation_mean_first_contact_peak_force_n_std,evaluation_mean_episode_maximum_contact_force_n_mean,evaluation_mean_episode_maximum_contact_force_n_std,evaluation_force_over_18n_episode_rate_mean,evaluation_force_over_18n_episode_rate_std,evaluation_force_over_36n_episode_rate_mean,evaluation_force_over_36n_episode_rate_std,evaluation_force_over_18n_step_fraction_mean,evaluation_force_over_18n_step_fraction_std,evaluation_force_over_36n_step_fraction_mean,evaluation_force_over_36n_step_fraction_std,actor_net_displacement_mean,actor_net_displacement_std,actor_path_length_mean,actor_path_length_std,actor_path_displacement_ratio_mean,actor_path_displacement_ratio_std,mean_abs_actor_residual_mean,mean_abs_actor_residual_std,raw_update_mean_mean,raw_update_mean_std,raw_update_p90_mean,raw_update_p90_std,raw_update_p99_mean,raw_update_p99_std,raw_update_max_mean,raw_update_max_std,applied_update_mean_mean,applied_update_mean_std,applied_raw_ratio_mean_mean,applied_raw_ratio_mean_std,raw_applied_ratio_mean_mean,raw_applied_ratio_mean_std,cumulative_cap_reach_80_episode_mean,cumulative_cap_reach_80_episode_std,cumulative_cap_reach_95_episode_mean,cumulative_cap_reach_95_episode_std,cumulative_cap_reach_100_episode_mean,cumulative_cap_reach_100_episode_std,cumulative_projection_count_mean,cumulative_projection_count_std,cumulative_projection_removed_mean,cumulative_projection_removed_std,online_cap_count_mean,online_cap_count_std,online_cap_removed_mean,online_cap_removed_std,target_kl_early_stop_count_mean,target_kl_early_stop_count_std,target_kl_early_stop_rate_mean,target_kl_early_stop_rate_std,ppo_clip_fraction_mean,ppo_clip_fraction_std,weight_min_clip_count_mean,weight_min_clip_count_std,weight_max_clip_count_mean,weight_max_clip_count_std,weight_clip_removed_episode_mean_sum_mean,weight_clip_removed_episode_mean_sum_std,weight_clip_removed_max_mean,weight_clip_removed_max_std,kl_projection_count_mean,kl_projection_count_std,kl_rollback_count_mean,kl_rollback_count_std,kl_projection_removed_mean,kl_projection_removed_std,policy_loss_mean,policy_loss_std,value_loss_mean,value_loss_std,explained_variance_mean,explained_variance_std,approximate_kl_mean_mean,approximate_kl_mean_std,approximate_kl_p95_mean,approximate_kl_p95_std,approximate_kl_max_mean,approximate_kl_max_std,entropy_mean,entropy_std,final_raw_log_std_mean_mean,final_raw_log_std_mean_std,advantage_mean_mean,advantage_mean_std,advantage_std_mean,advantage_std_std,actor_grad_norm_mean,actor_grad_norm_std,critic_grad_norm_mean,critic_grad_norm_std,mean_executed_ppo_epochs_mean,mean_executed_ppo_epochs_std,maximum_hessian_condition_number_mean,maximum_hessian_condition_number_std,p95_episode_maximum_hessian_condition_number_mean,p95_episode_maximum_hessian_condition_number_std,minimum_hessian_eigenvalue_mean,minimum_hessian_eigenvalue_std,maximum_linear_solve_residual_mean,maximum_linear_solve_residual_std,velocity_saturation_fraction_mean,velocity_saturation_fraction_std,solver_failure_count_mean,solver_failure_count_std,nan_inf_count_mean,nan_inf_count_std
D0,3,400.0,0.0,0.8833333333333333,0.02155419526062926,1.3333333333333333,1.5275252316519468,0.9958333333333332,0.0038188130791298944,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.568034059599862,0.03561190512955688,12.600869427204978,0.016418837728927212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3893252412478129,0.01848923484115591,63.738047227855226,1.3570531409292874,164.08103375131256,11.590493749756503,0.015172719895834104,0.002199183822276462,0.004280700597385672,8.314552785994119e-05,0.010914106325556833,0.000260706934807824,0.025890049139658613,8.34672398458665e-05,0.05286125590403875,0.009253990395895369,0.003896103204867997,8.006659125072363e-05,0.9223674308269657,0.007560954980682227,1.0826504542195936,0.011513346698478281,3.0,1.0,6.0,1.7320508075688772,6.0,1.7320508075688772,9355.333333333334,259.1087287864562,13.426440807183385,0.6795452861483782,375.6666666666667,18.14754345175493,2.5419739888360104,0.24735703793950398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.666666666666666,5.686240703077327,0.0,0.0,0.050848759400347866,0.03551053854162848,0.012399975706006696,1.3698192332744196e-05,29288.69326788231,10429.864103027003,-3.241770290639135,0.18051182527247558,0.0001694034188762236,1.8669685901004783e-05,0.0002785487721363692,9.553070276095169e-05,0.019186288118362427,0.0005730996087444248,-12.39997514177923,0.013697019712600272,-3.5047918955485025,0.0030601536320885073,-33.09703751101318,9.107693757095607,15.236376067045683,4.084004686482293,0.4297100059603127,0.03880319690113108,494.55135484372323,88.06102002322397,0.9907886240097582,0.0007463341281293788,3.9875528812408447,0.12109828687476128,3.8021293679873147,0.03012562279595608,1.4125741720199585,0.0011777618210842865,3.2614713063594536e-07,1.146419525959281e-08,0.007084722222222224,0.0014875242158385094,0.0,0.0,0.0,0.0
D1,3,400.0,0.0,0.6925,0.09643650760992954,11.0,16.46207763315433,0.7308333333333333,0.10995264132040357,0.7333333333333334,0.20033305601755622,0.9333333333333332,0.11547005383792514,0.7466666666666667,0.18147543451754933,1.0,0.0,0.20000000000000004,0.1216552506059644,0.0,0.0,13.24555059612681,2.5363892393447824,13.506103104849593,2.603732366981728,0.07333333333333333,0.11015141094572205,0.0,0.0,0.00048812570643085577,0.000840514663550845,0.0,0.0,4.410843928654988,0.3748881199350702,73.14837499299635,3.238425355166864,16.641257038594166,1.152935929515751,0.31612368714196126,0.03729645785572833,0.004734714009596085,0.00021184501149189354,0.011825682936857145,0.00036307948449653245,0.024862813881287988,0.00028571160318511055,0.0531830241282781,0.006538129891279334,0.004522557085537835,0.0002192339075136406,0.9841135174273674,0.0004578582396433756,1.007909529099136,0.004226929043145059,nan,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,395.0,38.118237105091836,2.2393765406062207,0.21850555875715452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.66666666666666,55.22076903967685,0.0,0.0,1.2030591346944373,0.3493653482822269,0.012213261553546064,6.0170124988063825e-05,87683.41789014703,34751.24628615104,-3.17999544456533,1.3227825902433425,0.0006190884302305363,0.00014449612154306802,0.0034567228828867274,0.001468229717964372,0.019971061497926712,3.4143827491529794e-05,-12.21326332551296,0.060170462420151276,-3.4450608094533286,0.021224443487207673,-95.89369884550563,38.045558632842024,43.659342949931506,17.242426781433004,0.9006756901156322,0.19148952973041072,1325.5350228841783,534.811418794486,0.9923948532767805,0.0012227594723506203,10.105862458546957,2.7266030523588687,8.207496754328409,2.8961289409037136,0.6788904666900635,0.18384105123770914,5.614942892862018e-07,2.2393346814361404e-07,0.020972619047619045,0.009828994704686836,0.0,0.0,0.0,0.0
D2,3,400.0,0.0,0.505,0.2242626808008858,73.66666666666667,114.73592869425572,0.45083333333333336,0.24125107944490806,0.013333333333333334,0.023094010767585032,0.6933333333333334,0.4969238707622459,0.013333333333333334,0.023094010767585032,0.7399999999999999,0.3218695387886216,0.42,0.37469987990390385,0.14,0.163707055437449,10.312375343077152,3.801628247062042,18.013577763667854,16.690797175961688,0.34,0.5546169849544819,0.29333333333333333,0.5080682368868707,0.05252125914143912,0.09095959205676991,0.002825363941030619,0.004893673895738069,4.434896787007649,1.2018074514004622,63.54874557532943,13.404122669383135,14.892142055788566,4.75328242221088,3.070544319910807,3.698172424571176,0.004905120456192636,0.0002542197754617329,0.012105751596391203,0.000449253489912304,0.02557230014353995,0.0020503754992285557,0.05372753863533338,0.005771295472703186,0.004496913775833872,0.0003720515019279459,0.9725876859076442,0.0017159501056619587,1.044372557060264,0.028116660677216923,nan,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,337.3333333333333,143.51422693702995,2.376104432468613,1.1857448709790692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.3333333333334,253.36995349356903,0.0,0.0,3.7962414533055076,1.903533429012125,0.012195027406517555,5.9215241515694665e-05,89472.92801361873,45404.05008999572,-3.4584321308969392,1.7634356949340944,0.0013075713359610123,0.0001977915338788052,0.013066629196206719,0.0020253450412852474,0.019912501176198322,0.0001059747541959431,-12.19502727815754,0.05922104231768596,-3.428438345591227,0.028019174090956,-93.08034537760675,43.39443477588197,42.28892657874414,19.707242857783537,2.048395233101358,0.5898360545408055,1250.5376883407564,526.6505914951669,0.991891007030404,0.003664416632006381,196.43985525767008,237.86298836119656,136.259660243988,158.24953881175776,0.32276298602422077,0.3161218382209545,5.339383619684668e-07,1.95979316985306e-07,0.03134949856606801,0.030064407449890355,0.0,0.0,0.0,0.0
D3,3,400.0,0.0,0.6233333333333334,0.13748484764996227,56.666666666666664,87.96211305632292,0.6691666666666666,0.20803144794317355,0.48666666666666664,0.42442117446392014,0.6866666666666666,0.5427092530382482,0.48666666666666664,0.42442117446392014,0.96,0.06928203230275509,0.16,0.14,0.04,0.06928203230275508,11.790465173796903,2.2492852086225956,20.26862314922614,16.157800360791995,0.32,0.5542562584220407,0.3066666666666667,0.5311622476544557,0.05064996750548373,0.08772831712121049,0.002939193285480345,0.0050908321037172535,4.165476719538371,0.48369503377983264,65.29610595153402,7.87253523737767,15.943777689151354,3.5113776659093263,0.9835618682140307,0.8390134310177227,0.005041531104021093,0.00015038530685700558,0.012479172460734845,0.0001206968062799441,0.025451221329470457,0.0023598876666898467,0.05730927114685377,0.0050467103895776196,0.0046326744657784824,0.00032658342521124406,0.9696141353028486,0.008051969289409808,1.0629579663400162,0.05345841658017607,nan,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.0,349.52396198258,0.0,0.0,6.1326566705053365,3.476515570883719,0.012157312899385217,5.081838545054641e-05,75493.10993256587,28716.001441907432,-3.5814268230292865,0.25891265023202775,0.001223097025948031,0.0003168728793518266,0.012395701805750524,0.005565422055196384,0.019901782274246216,6.734156267780998e-05,-12.15731445752404,0.05081465020471014,-3.416084369023641,0.029996600632877596,-78.91183040548721,25.943222096390194,35.94554541426908,11.700674984705143,1.799954246682529,0.26513233382448004,1086.0693503134169,355.9171011708532,0.9906513118511714,0.0030509174393223795,106.62579854329427,72.29600023063269,78.89740613301593,52.61847872712411,0.29787877202033997,0.0806718588616568,6.437620451530771e-07,2.7265172067392884e-07,0.01929321327738941,0.006722121427691218,0.0,0.0,0.0,0.0
M0,3,400.0,0.0,0.4725,0.1008402201504935,55.0,53.028294334251406,0.46916666666666673,0.12021681801367617,0.10666666666666667,0.11718930554164629,0.41333333333333333,0.5096403960964372,0.10666666666666667,0.11718930554164629,0.82,0.31176914536239786,0.12666666666666668,0.10066445913694333,0.16,0.2771281292110203,15.483498891077176,11.661188733768167,24.164893333564688,16.74799329333142,0.62,0.5414794548272354,0.38000000000000006,0.4804164859785726,0.12642991111760543,0.19473331907529617,0.0028469490669856636,0.003405612132925434,4.739626566569011,0.6478714330277735,79.18414221664959,8.09829301991319,16.771041433743665,1.093809925665187,2.0161917485305514,1.9495370997191077,0.005122853045317192,0.0004155789042711978,0.012031107489019635,0.0008516435453457167,0.025585445997615665,0.000678075037787829,0.05780224626262983,0.0019373627328119303,0.005122853045317192,0.0004155789042711978,0.9930401081365993,0.001529182662494582,0.9930401072021949,0.0015291828106046546,nan,0.0,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012177976650503478,0.00011435235692716569,205493.9560433887,149761.18878799572,-2.4230216453803437,1.5241435326208304,0.01066308722226336,0.00022415906582293462,0.029484299508233846,0.014183146275925995,5.599403301874797,2.528886476688799,-12.177970521159002,0.11434745206813479,-3.4239562352498374,0.05005414341707753,-197.0753136862035,141.4068374816388,89.12554770020738,63.65106295017835,3.390583937967961,1.9775823597507884,2451.421487481853,1619.3961044106802,0.9930401081365993,0.001529182662494582,99.71548461914062,35.06707530005152,70.22781562805174,33.04238214575024,0.3020508016149203,0.2036374361086892,2.557557337468097e-06,3.840514402701324e-06,0.023321285425170618,0.001493687042153269,0.0,0.0,0.0,0.0
