condition,seed,phase,cost,horizon,weight_mean
D0,7,capture,smoothness,7,0.65043149965673
D0,7,hold,object,0,60.10481564589035
D0,7,hold,object,1,60.03793208427494
D0,7,hold,object,2,60.00643478694493
D0,7,hold,object,3,59.98193090751128
D0,7,hold,object,4,59.95473510577728
D0,7,hold,object,5,59.92167105085338
D0,7,hold,object,6,59.881652264226055
D0,7,hold,object,7,59.83439405320906
D0,7,hold,grasp,0,20.927399538866144
D0,7,hold,grasp,1,20.93540322425568
D0,7,hold,grasp,2,20.936908204844688
D0,7,hold,grasp,3,20.936420454042274
D0,7,hold,grasp,4,20.93557409317016
D0,7,hold,grasp,5,20.93480326258288
D0,7,hold,grasp,6,20.93416512199067
D0,7,hold,grasp,7,20.933490795633087
D0,7,hold,compression,0,64.72038888299853
D0,7,hold,compression,1,64.72744850444117
D0,7,hold,compression,2,64.72963288499922
D0,7,hold,compression,3,64.72887156650202
D0,7,hold,compression,4,64.72701171066255
D0,7,hold,compression,5,64.72508671332596
D0,7,hold,compression,6,64.72343435018443
D0,7,hold,compression,7,64.72196583662085
D0,7,hold,velocity,0,1.9983738912541973
D0,7,hold,velocity,1,1.992491198004032
D0,7,hold,velocity,2,1.9945523675844412
D0,7,hold,velocity,3,1.9974765725940515
D0,7,hold,velocity,4,1.998370563494905
D0,7,hold,velocity,5,1.9986307559173146
D0,7,hold,velocity,6,1.9989131861495657
D0,7,hold,velocity,7,1.9998560309466322
D0,7,hold,smoothness,0,1.4832052150582709
D0,7,hold,smoothness,1,1.496699977068818
D0,7,hold,smoothness,2,1.4921764654644627
D0,7,hold,smoothness,3,1.4915600929220971
D0,7,hold,smoothness,4,1.491788479906736
D0,7,hold,smoothness,5,1.4931815587342705
D0,7,hold,smoothness,6,1.4933102736512611
D0,7,hold,smoothness,7,1.4934786218966913
D0,17,intercept,object,0,31.27257650936784
D0,17,intercept,object,1,31.111692246593197
D0,17,intercept,object,2,31.039816716200583
D0,17,intercept,object,3,30.98988214804672
D0,17,intercept,object,4,30.938393867501738
D0,17,intercept,object,5,30.87723407248981
D0,17,intercept,object,6,30.80372402285876
D0,17,intercept,object,7,30.716929861214556
D0,17,intercept,grasp,0,255.36808649061015
D0,17,intercept,grasp,1,255.0504321266057
D0,17,intercept,grasp,2,254.90491586313604
D0,17,intercept,grasp,3,254.84678112452863
D0,17,intercept,grasp,4,254.8248345920603
D0,17,intercept,grasp,5,254.81742248490372
D0,17,intercept,grasp,6,254.8193443773518
D0,17,intercept,grasp,7,254.83475240983284
D0,17,intercept,compression,0,0.04989355554206236
D0,17,intercept,compression,1,0.04989725920365537
D0,17,intercept,compression,2,0.049900889376553834
D0,17,intercept,compression,3,0.04990380766681883
D0,17,intercept,compression,4,0.0499060215112742
D0,17,intercept,compression,5,0.04990768267823105
D0,17,intercept,compression,6,0.049908852222370965
D0,17,intercept,compression,7,0.04990962471312338
D0,17,intercept,velocity,0,3.843141485070825
D0,17,intercept,velocity,1,3.943113677293399
D0,17,intercept,velocity,2,4.043526980504276
D0,17,intercept,velocity,3,4.059855459416005
D0,17,intercept,velocity,4,4.056316320051466
D0,17,intercept,velocity,5,4.053451264007109
D0,17,intercept,velocity,6,4.048677499615428
D0,17,intercept,velocity,7,4.031853743731535
D0,17,intercept,smoothness,0,0.40145369561351674
D0,17,intercept,smoothness,1,0.39091563395207013
D0,17,intercept,smoothness,2,0.3975331107244402
D0,17,intercept,smoothness,3,0.39918560399657
D0,17,intercept,smoothness,4,0.3997507227701816
D0,17,intercept,smoothness,5,0.40014751873183685
D0,17,intercept,smoothness,6,0.4004161889240504
D0,17,intercept,smoothness,7,0.40116313685236227
D0,17,pre_impact,object,0,31.04666514069621
D0,17,pre_impact,object,1,30.91233319694782
D0,17,pre_impact,object,2,30.850390348828167
D0,17,pre_impact,object,3,30.806098705095398
D0,17,pre_impact,object,4,30.7599323420109
D0,17,pre_impact,object,5,30.70517342585533
D0,17,pre_impact,object,6,30.63957537557608
D0,17,pre_impact,object,7,30.562242334456705
D0,17,pre_impact,grasp,0,253.83506443636153
D0,17,pre_impact,grasp,1,253.6946695627411
D0,17,pre_impact,grasp,2,253.5966654845059
D0,17,pre_impact,grasp,3,253.5367110018996
D0,17,pre_impact,grasp,4,253.4989519408699
D0,17,pre_impact,grasp,5,253.4743064791606
D0,17,pre_impact,grasp,6,253.46048683989508
D0,17,pre_impact,grasp,7,253.4585890864475
D0,17,pre_impact,compression,0,0.9496798481315225
D0,17,pre_impact,compression,1,0.9497541404309848
D0,17,pre_impact,compression,2,0.9498219188224856
D0,17,pre_impact,compression,3,0.9498762232307633
D0,17,pre_impact,compression,4,0.949917524943426
D0,17,pre_impact,compression,5,0.9499479655210362
D0,17,pre_impact,compression,6,0.9499689260489265
D0,17,pre_impact,compression,7,0.9499823345072764
D0,17,pre_impact,velocity,0,3.2750889077598093
D0,17,pre_impact,velocity,1,3.332186776528962
D0,17,pre_impact,velocity,2,3.405006859537471
D0,17,pre_impact,velocity,3,3.4255225481159015
D0,17,pre_impact,velocity,4,3.4247526120781733
D0,17,pre_impact,velocity,5,3.423172120567009
D0,17,pre_impact,velocity,6,3.4205814329603674
D0,17,pre_impact,velocity,7,3.411574168248876
D0,17,pre_impact,smoothness,0,0.4632201705484361
D0,17,pre_impact,smoothness,1,0.45217707209598296
D0,17,pre_impact,smoothness,2,0.4576565291937838
D0,17,pre_impact,smoothness,3,0.4591856939002281
D0,17,pre_impact,smoothness,4,0.4608644307259476
D0,17,pre_impact,smoothness,5,0.46356108723809814
D0,17,pre_impact,smoothness,6,0.4638279481773256
D0,17,pre_impact,smoothness,7,0.46444383527468647
D0,17,capture,object,0,26.19414501385087
D0,17,capture,object,1,26.129704194785603
D0,17,capture,object,2,26.09911979669105
D0,17,capture,object,3,26.076836723198205
D0,17,capture,object,4,26.053476137382592
D0,17,capture,object,5,26.025805364003805
D0,17,capture,object,6,25.99253041779751
D0,17,capture,object,7,25.95247761189256
D0,17,capture,grasp,0,186.2613894103199
D0,17,capture,grasp,1,186.20171661416384
D0,17,capture,grasp,2,186.14149710524512
D0,17,capture,grasp,3,186.09442495956728
D0,17,capture,grasp,4,186.0590915790652
D0,17,capture,grasp,5,186.0331897332403
D0,17,capture,grasp,6,186.0162081986167
D0,17,capture,grasp,7,186.00797615884872
D0,17,capture,compression,0,18.211292712088692
D0,17,capture,compression,1,18.21383441847466
D0,17,capture,compression,2,18.21622893684321
D0,17,capture,compression,3,18.218247664527212
D0,17,capture,compression,4,18.219858040638055
D0,17,capture,compression,5,18.221087435123902
D0,17,capture,compression,6,18.221966725798527
D0,17,capture,compression,7,18.222566489354392
D0,17,capture,velocity,0,2.4884033881698158
