condition,learned_success,zero_success,paired_delta,ci95_low,ci95_high,learned_impact_safe,zero_impact_safe,learned_peak_p95,zero_peak_p95,learned_over_18n,zero_over_18n,learned_over_36n,zero_over_36n,actor_residual_abs_mean,policy_command_delta,verdict
D0,0.9133333333333333,0.92,-0.006666666666666667,-0.016666666666666666,0.0,1,1,15.537683510399638,15.521809671155717,0,0,0,0,0.01980044881842753,0.002046479930000462,2: Actor 기여가 거의 없음
D1,0.7133333333333334,0.92,-0.20666666666666667,-0.25666666666666665,-0.15666666666666668,0.9233333333333333,1,16.43373094005203,15.521809671155717,0.08,0,0,0,0.5305354354522904,0.07649876887456754,3: Actor가 성능을 악화
D2,0.013333333333333334,0.92,-0.9066666666666666,-0.94,-0.87,0.9866666666666667,1,15.662269480070151,15.521809671155717,0.33999999999999997,0,0.3,0,17.49408457069914,1.3367674554850906,3: Actor가 성능을 악화
D3,0.5033333333333333,0.92,-0.4166666666666667,-0.4766666666666667,-0.3566666666666667,0.9966666666666667,1,14.444471842872527,15.521809671155717,0.31666666666666665,0,0.31,0,1.3439298129141415,0.4942223265571161,3: Actor가 성능을 악화
M0,0.12333333333333334,0.92,-0.7966666666666666,-0.8433333333333334,-0.7466666666666667,0.7166666666666667,1,22.646961191186048,15.521809671155717,0.6233333333333333,0,0.38,0,6.395831758904538,0.7422084958869163,3: Actor가 성능을 악화
